id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,euphoric|upbeat|summery
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,62,2020,mellow|studious|dreamy
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,55,2010,aggressive|pumped|driving
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,peaceful|cozy|rainy
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020,pumped|energetic|motivating
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,44,2010,meditative|cosmic|floating
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,51,2000,nostalgic|cozy|breezy
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,67,2010,cinematic|retro|nocturnal
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,60,2020,studious|calm|productive
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,70,2020,upbeat|summery|joyful
11,Rainy Days & Neon Signs,Violet Haze,r&b,sad,0.48,85,0.38,0.65,0.45,65,2010,melancholic|longing|heartfelt
12,Desert Frequency,Sun Circuit,electronic,energetic,0.88,140,0.72,0.91,0.08,74,2020,euphoric|driving|club
13,Blue Hollow Road,Ember Creek,country,nostalgic,0.44,96,0.62,0.57,0.78,48,2000,nostalgic|rustic|longing
14,Iron Throne,Fractured Sky,metal,angry,0.97,168,0.32,0.58,0.04,42,2010,aggressive|intense|thunderous
15,Velvet Nights,Sable & Gold,r&b,romantic,0.55,92,0.75,0.70,0.52,69,2010,sensual|warm|intimate
16,Sunflower Gospel,The Harvest,country,uplifting,0.60,104,0.83,0.63,0.82,52,2000,hopeful|warm|uplifting
17,Concrete Hymns,Verse City,hip-hop,melancholic,0.65,88,0.42,0.78,0.20,72,2020,introspective|urban|somber
18,Bayou Groove,Delta Muse,blues,groovy,0.52,98,0.68,0.72,0.76,46,2000,soulful|groovy|laid-back
